JobName/m30,Duration,CpuAvgPct,CpuPeakPct,RequestedCpus,Cmd
OOD Jupyter,0d2h5m,4,48,8,pt_main_thread
OOD Jupyter,0d3h5m,50,173,24,"jupyter-noteboo,pt_main_thread"
OOD Jupyter,0d7h50m,72,152,24,"jupyter-lab,pt_main_thread"
OOD Jupyter,0d11h55m,467,2669,24,python
OOD Jupyter,0d4h20m,7,47,24,"jupyter-lab,pt_main_thread"
OOD Jupyter,0d5h35m,1,40,2,"R,jupyter-lab,python"
OOD Jupyter,0d5h1m,32,594,24,"jupyter-lab,pt_main_thread,watch"
OOD Jupyter,0d9h50m,89,100,1,"R,python"
OOD Jupyter,0d2h55m,1,34,16,pt_main_thread
OOD Jupyter,0d2h25m,98,2295,24,"jupyter-lab,pt_main_thread"
OOD Code Server,1d23h50m,3161,54627,32,"node,ps.sh,python,squashfuse_ll"
OOD Jupyter,0d2h45m,994,11842,24,"jupyter-lab,pt_main_thread"
OOD Jupyter,0d6h10m,91,871,24,"jupyter-lab,pt_main_thread"
OOD Jupyter,0d2h50m,1779,22168,24,"jupyter-lab,pt_main_thread"
OOD Jupyter,0d4h25m,323,3895,24,"jupyter-lab,pt_main_thread"
OOD Jupyter,0d8h35m,5,99,1,"R,jupyter-lab"
OOD Jupyter,0d10h20m,75,1306,32,python
OOD Code Server,0d9h0m,99,100,8,lmp
OOD Jupyter,0d9h0m,99,100,24,lmp
OOD Jupyter,0d4h30m,4,5,8,python
OOD Jupyter,0d3h10m,153,161,24,"jupyter-lab,pt_main_thread,watch"
OOD Jupyter,0d3h15m,62,558,16,python3
OOD Jupyter,0d2h50m,6,56,8,pt_main_thread
OOD Jupyter,0d2h30m,3,87,8,pt_main_thread
OOD Jupyter,0d8h50m,22,422,32,"jupyter-lab,python"
OOD Jupyter,0d2h49m,129,1875,24,python
OOD Jupyter,0d2h50m,1,27,8,pt_main_thread
OOD Jupyter,0d3h25m,2,27,8,"jupyter-lab,python"
OOD Jupyter,0d5h35m,1,15,24,python
OOD Jupyter,0d7h30m,42,689,32,python
OOD Jupyter,0d2h40m,2,24,8,pt_main_thread
OOD Jupyter,0d5h50m,38,1893,16,"jupyter-lab,python"
OOD Jupyter,0d2h50m,1,2,24,jupyter-lab
OOD Jupyter,0d3h0m,132,1668,16,python3
OOD Jupyter,0d3h45m,36,1018,16,python3
OOD Jupyter,0d4h55m,87,89,24,"python,wandb-core"
OOD Jupyter,0d3h45m,1038,1813,24,"pt_main_thread,watch"
OOD Jupyter,0d4h50m,87,88,24,"python,wandb-core"
OOD Jupyter,0d3h5m,614,1490,24,"pt_main_thread,watch"
OOD Jupyter,0d4h55m,87,88,24,"python,wandb-core"
OOD Jupyter,0d2h35m,1608,2540,24,"pt_main_thread,watch"
OOD Jupyter,0d2h30m,854,1554,24,"pt_main_thread,watch"
OOD Jupyter,0d2h35m,87,88,24,"python,wandb-core"
OOD Jupyter,0d2h5m,65,726,16,python3
OOD Jupyter,0d2h50m,3,83,8,pt_main_thread
OOD Jupyter,0d5h10m,87,89,24,"python,wandb-core"
OOD Jupyter,0d8h50m,63,646,32,python
OOD Jupyter,0d3h25m,71,1518,16,python3
OOD Jupyter,0d5h40m,5,49,16,"jupyter-lab,python"
OOD Jupyter,0d5h25m,86,88,24,python
OOD Jupyter,0d5h15m,87,89,24,"python,wandb-core"
OOD Jupyter,0d8h50m,89,4243,32,python
OOD Matlab,0d2h50m,437,1117,16,"MATLAB,MATLABWebUI,Xvnc"
OOD Jupyter,0d5h50m,3,72,16,"jupyter-lab,python"
OOD Jupyter,0d5h10m,1,5,24,pt_main_thread
OOD Matlab,0d2h55m,89,346,16,"MATLAB,MATLABWebUI,Xvnc"
OOD Jupyter,0d2h55m,2,55,8,pt_main_thread
OOD Jupyter,0d5h5m,7,33,16,"jupyter-lab,python"
OOD Jupyter,0d3h30m,82,1524,24,"jupyter-lab,pt_main_thread"
OOD Jupyter,0d8h50m,77,709,32,"jupyter-lab,python"
OOD Jupyter,0d8h55m,104,687,32,"jupyter-lab,python"
OOD Jupyter,0d4h40m,3,87,24,"jupyter-lab,pt_main_thread"
OOD Jupyter,0d5h40m,10,266,16,"jupyter-lab,python"
OOD Jupyter,0d2h15m,66,502,24,"jupyter-lab,python"
OOD Jupyter,0d3h20m,2,13,8,"jupyter-lab,python"
OOD Matlab,0d2h55m,205,2547,16,"MATLAB,MATLABWebUI,MATLABWindow,Xvnc"
OOD Matlab,0d2h55m,1033,1516,16,"MATLAB,MATLABWebUI,Xvnc"
OOD Jupyter,0d2h10m,1,2,32,jupyter-lab
OOD Jupyter,0d2h35m,129,1332,24,"jupyter-lab,python"
OOD Matlab,0d2h55m,83,1439,16,"MATLAB,MATLABWebUI,Xvnc"
OOD Jupyter,0d4h55m,74,104,24,"jupyter-lab,python"
OOD Jupyter,0d2h30m,607,646,24,python
OOD Code Server,1d23h50m,833,7945,32,"node,ps.sh,python,squashfuse_ll"
OOD Jupyter,0d7h45m,1,51,8,pt_main_thread
OOD Jupyter,0d8h0m,154,1451,24,"jupyter-lab,python"
OOD Jupyter,0d4h55m,2,21,24,python
OOD Jupyter,0d2h35m,1,21,32,jupyter-lab
OOD Jupyter,0d2h50m,2,20,32,"jupyter-lab,python"
OOD Jupyter,0d3h15m,4,158,16,fairseq-interac
OOD Matlab,1d23h55m,406,2940,32,"MATLAB,MATLABWebUI,Xvnc,xfwm4"
OOD Matlab,0d17h55m,902,2885,32,MATLAB
OOD Matlab,0d17h55m,917,2947,32,"MATLAB,MATLABWebUI"
OOD Jupyter,0d2h50m,3,31,32,"jupyter-lab,python"
OOD Jupyter,0d3h50m,2,24,16,python
OOD Jupyter,0d2h25m,633,665,24,python
OOD Jupyter,0d2h10m,234,885,24,pt_main_thread
OOD Jupyter,0d5h35m,82,84,24,"python,wandb-core"
OOD Jupyter,0d3h50m,624,694,24,"python,wandb-core"
OOD Code Server,1d23h55m,805,24053,32,"node,ps.sh,python,squashfuse_ll"
OOD Jupyter,0d5h40m,217,6250,24,"jupyter-lab,python"
OOD Jupyter,0d2h45m,131,1575,16,"jupyter-lab,python"
OOD Jupyter,0d2h30m,2171,33004,24,"pt_main_thread,watch"
OOD Matlab,0d3h55m,16,364,16,"MATLAB,MATLABWebUI,Xvnc"
OOD Jupyter,0d6h25m,33,596,32,"jupyter-lab,python"
OOD Jupyter,0d3h10m,8,71,24,pt_main_thread
OOD Matlab,0d2h55m,488,1219,16,"MATLAB,MATLABWebUI,MATLABWindow,Xvnc"
OOD Jupyter,0d5h30m,2,22,32,python
OOD Jupyter,0d8h50m,123,4488,32,"jupyter-lab,python,python <defunct>"
OOD Jupyter,0d4h0m,252,2995,16,"jupyter-lab,python"
OOD Jupyter,0d5h10m,1,1,8,jupyter-lab
OOD Jupyter,0d4h15m,41,1212,16,"jupyter-lab,pt_main_thread"
OOD Jupyter,0d3h35m,4,107,8,pt_main_thread
OOD Jupyter,0d3h55m,4,98,8,pt_main_thread
OOD Jupyter,0d3h55m,404,509,24,"jupyter-lab,python"
OOD Jupyter,0d7h45m,13,619,16,python
OOD Jupyter,0d8h40m,45,376,32,"jupyter-lab,python"
OOD Jupyter,0d2h35m,94,1131,16,"jupyter-lab,python"
OOD Jupyter,0d2h55m,152,879,32,"jupyter-lab,python"
OOD Jupyter,0d7h45m,85,1453,16,"jupyter-lab,python"
OOD Jupyter,0d2h40m,411,2393,24,"jupyter-lab,pt_main_thread"
OOD Jupyter,0d7h30m,178,4358,16,"jupyter-lab,python"
OOD Jupyter,0d7h50m,22,102,24,"jupyter-lab,pt_main_thread"
OOD Jupyter,0d3h25m,3,124,8,pt_main_thread
OOD Jupyter,0d3h30m,128,2476,32,"jupyter-lab,python"
OOD Jupyter,0d3h25m,97,174,24,pt_main_thread
OOD Jupyter,0d2h50m,622,1597,24,"pt_main_thread,watch"
OOD Jupyter,0d4h45m,7,364,8,pt_main_thread
OOD Jupyter,0d7h45m,260,6233,16,"jupyter-lab,python"
OOD Jupyter,0d7h49m,33,1445,16,python
OOD Jupyter,0d7h45m,127,2450,16,"jupyter-lab,python"
OOD Jupyter,0d9h50m,67,841,32,python
OOD Jupyter,0d5h35m,2,32,32,"jupyter-lab,python"
OOD Jupyter,0d4h40m,2,32,32,"jupyter-lab,python"
OOD Jupyter,0d3h35m,142,1004,32,"jupyter-lab,python"
OOD Jupyter,0d7h29m,41,1432,16,python
OOD Jupyter,0d7h50m,9,302,16,"jupyter-lab,python"
OOD Jupyter,0d9h45m,15,370,32,python
OOD Jupyter,0d5h50m,20,689,32,python
OOD Jupyter,0d7h50m,186,1527,32,"jupyter-lab,python"
OOD Jupyter,0d2h45m,21,286,24,"jupyter-lab,python"
